PacketCounter, SampleTimeFine, Acc_X, Acc_Y, Acc_Z, FreeAcc_X, FreeAcc_Y, FreeAcc_Z, Gyr_X, Gyr_Y, Gyr_Z, Mag_X, Mag_Y, Mag_Z, VelInc_X, VelInc_Y, VelInc_Z, OriInc_q0, OriInc_q1, OriInc_q2, OriInc_q3, Roll, Pitch, Yaw, Latitude, Longitude, Altitude, Vel_X, Vel_Y, Vel_Z
62034, , 19.911735, 5.383130, -7.366281, -5.583279, 10.252391, 8.712463, -2.456336, 7.492880, 1.188174, -0.833252, -0.529785, -0.095947, 0.195836, 0.054031, -0.081705, 0.999205, -0.012278, 0.037454, 0.005939, 26.118697, -74.517744, 77.411102, , , 0.000000, , , 
62035, , 21.820685, 5.845512, -9.492552, -6.908885, 14.017665, 9.052908, -2.746405, 6.990463, 1.314141, -0.835693, -0.516602, -0.161865, 0.214310, 0.058492, -0.103266, 0.999273, -0.013729, 0.034944, 0.006569, 17.468006, -71.074589, 84.810258, , , 0.000000, , , 
62036, , 23.457262, 6.745887, -12.610767, -8.825920, 18.542072, 8.429584, -2.561089, 6.341634, 1.354024, -0.822266, -0.505127, -0.234375, 0.229944, 0.067341, -0.134312, 0.999392, -0.012803, 0.031702, 0.006769, 11.539991, -67.727357, 89.590559, , , 0.000000, , , 
62037, , 21.542245, 7.460647, -15.332738, -10.283711, 21.217310, 4.281756, -2.691284, 5.573967, 1.230202, -0.818115, -0.485352, -0.285156, 0.210565, 0.073786, -0.160238, 0.999502, -0.013454, 0.027865, 0.006150, 7.229047, -64.693241, 92.610320, , , 0.000000, , , 
62038, , 16.408170, 8.022435, -15.018405, -10.700210, 19.367327, -1.480553, -2.396187, 4.606539, 0.987620, -0.813721, -0.471924, -0.331543, 0.160158, 0.079185, -0.154856, 0.999651, -0.011980, 0.023030, 0.004938, 4.215476, -62.105741, 94.455347, , , 0.000000, , , 
62039, , 11.930900, 8.919925, -16.735694, -11.534082, 19.029484, -7.211637, -1.966644, 3.630609, 0.669135, -0.800049, -0.462891, -0.364502, 0.115939, 0.087926, -0.170351, 0.999781, -0.009833, 0.018152, 0.003345, 2.177286, -60.052639, 95.491385, , , 0.000000, , , 
62040, , 6.627137, 7.798212, -20.207096, -10.316185, 19.652857, -14.324091, -1.885306, 2.716981, 0.140143, -0.795654, -0.454102, -0.393066, 0.063458, 0.076112, -0.203669, 0.999863, -0.009426, 0.013584, 0.000701, 0.912985, -58.510592, 95.730254, , , 0.000000, , , 
62041, , 1.335385, 4.641699, -21.126002, -6.676439, 18.033015, -19.805652, -1.271635, 1.332901, -0.207352, -0.793213, -0.449707, -0.395508, 0.011991, 0.045059, -0.211632, 0.999957, -0.006358, 0.006664, -0.001037, 0.353783, -57.748042, 95.525767, , , 0.000000, , , 
62042, , 1.317555, 3.886799, -20.517713, -5.738514, 17.584752, -19.593552, -0.048896, -0.249245, -0.332507, -0.795654, -0.454102, -0.395264, 0.013496, 0.038796, -0.205170, 0.999998, -0.000244, -0.001246, -0.001663, 0.656100, -57.930611, 95.171457, , , 0.000000, , , 
62043, , 2.899418, 5.302004, -16.957644, -6.952001, 15.340662, -16.169071, 0.620123, -1.731157, -0.458385, -0.797852, -0.460693, -0.375488, 0.030582, 0.053476, -0.169151, 0.999955, 0.003101, -0.008656, -0.002292, 1.460411, -58.919916, 94.639481, , , 0.000000, , , 
62044, , 7.521595, 7.146882, -12.408479, -8.666585, 13.650481, -9.418633, 1.565771, -2.682241, -0.688401, -0.802002, -0.474121, -0.340088, 0.077114, 0.072169, -0.122496, 0.999874, 0.007829, -0.013411, -0.003442, 3.174037, -60.496073, 93.731905, , , 0.000000, , , 
62045, , 15.504787, 9.465713, 23.395100, -7.165807, -14.145526, 15.202898, -0.144278, -4.296233, -1.104333, -0.808838, -0.480713, -0.315918, 0.150496, 0.093988, 0.237149, 0.999754, -0.000721, -0.021479, -0.005521, 4.564469, -62.912136, 92.054493, , , 0.000000, , , 
62046, , 24.666225, -5.109002, 15.343516, 6.516475, -2.134228, 18.873364, -1.250578, -1.957930, -1.470733, -0.808594, -0.493896, -0.295898, 0.244763, -0.051924, 0.156160, 0.999905, -0.006253, -0.009789, -0.007353, 5.795836, -64.003211, 89.916815, , , 0.000000, , , 
