PacketCounter, SampleTimeFine, Acc_X, Acc_Y, Acc_Z, FreeAcc_X, FreeAcc_Y, FreeAcc_Z, Gyr_X, Gyr_Y, Gyr_Z, Mag_X, Mag_Y, Mag_Z, VelInc_X, VelInc_Y, VelInc_Z, OriInc_q0, OriInc_q1, OriInc_q2, OriInc_q3, Roll, Pitch, Yaw, Latitude, Longitude, Altitude, Vel_X, Vel_Y, Vel_Z
64302, , 8.652833, -0.816635, 3.897483, -1.221906, -0.769723, -0.397653, 1.437804, 0.572853, 0.484897, -0.747559, 0.319580, -0.601807, 0.086659, -0.008235, 0.038668, 0.999967, 0.007189, 0.002864, 0.002424, 9.132766, -65.033540, -67.643987, , , 0.000000, , , 
64303, , 5.474071, -0.324543, 1.959793, -0.348078, -0.814705, -4.057119, 1.792199, 0.476239, 0.451620, -0.749268, 0.311279, -0.606201, 0.054795, -0.003296, 0.019438, 0.999954, 0.008961, 0.002381, 0.002258, 9.465759, -64.798294, -66.887846, , , 0.000000, , , 
64304, , 3.334371, 0.582938, 1.533806, 0.277369, 0.160446, -6.110294, 1.723947, 0.093001, 0.545004, -0.743164, 0.309082, -0.608398, 0.033335, 0.005788, 0.015373, 0.999959, 0.008620, 0.000465, 0.002725, 9.777345, -64.796841, -66.141396, , , 0.000000, , , 
64305, , 5.281146, 1.852218, 2.388267, 1.220097, 0.759606, -3.900075, 1.335312, -0.684588, 0.864825, -0.743164, 0.315430, -0.604004, 0.052649, 0.018589, 0.024187, 0.999963, 0.006676, -0.003423, 0.004324, 9.588080, -65.274063, -65.099951, , , 0.000000, , , 
64306, , 9.741419, 1.579392, 3.528783, 1.162048, -0.116115, 0.602475, 0.370426, -1.314097, 1.110973, -0.751953, 0.323730, -0.591309, 0.097090, 0.016268, 0.035956, 0.999961, 0.001852, -0.006570, 0.005555, 8.669865, -66.117388, -63.860495, , , 0.000000, , , 
64307, , 14.047076, -1.303317, 2.103103, 0.309359, -4.108618, 3.842245, -0.283307, -1.857789, 1.195365, -0.764648, 0.338135, -0.572266, 0.140342, -0.012163, 0.022353, 0.999938, -0.001417, -0.009289, 0.005977, 7.181747, -67.280878, -62.451599, , , 0.000000, , , 
64308, , 20.908045, -4.720262, -2.790277, 1.260586, -11.709813, 8.311417, 0.478036, -2.374844, 0.575137, -0.779297, 0.338135, -0.553711, 0.209527, -0.046538, -0.025528, 0.999923, 0.002390, -0.011874, 0.002876, 7.060486, -68.670840, -62.026357, , , 0.000000, , , 
64309, , 28.810472, -3.063889, -2.786807, 3.797335, -12.919764, 15.991197, 1.011980, -1.643330, -0.027838, -0.777100, 0.333984, -0.539062, 0.288317, -0.030545, -0.025654, 0.999953, 0.005060, -0.008217, -0.000139, 7.919664, -69.636942, -62.352028, , , 0.000000, , , 
64310, , 28.342643, -1.962451, 1.726079, 2.022931, -8.604558, 17.242891, 1.516333, 0.228418, -0.093617, -0.770264, 0.315430, -0.555908, 0.283437, -0.019886, 0.016787, 0.999970, 0.007582, 0.001142, -0.000468, 8.875253, -69.498685, -62.445742, , , 0.000000, , , 
64311, , 14.832252, -2.026055, 1.637770, -0.056357, -4.729847, 4.483943, 4.090432, 2.236343, 0.141624, -0.754639, 0.280273, -0.585693, 0.148505, -0.020462, 0.014301, 0.999728, 0.020450, 0.011181, 0.000708, 10.406150, -68.273026, -61.577066, , , 0.000000, , , 
64312, , 3.160821, 0.275520, -2.942429, 2.600989, -2.921948, -7.963824, 5.914296, 2.253785, 0.229633, -0.747559, 0.251221, -0.607178, 0.031271, 0.003666, -0.029679, 0.999499, 0.029567, 0.011267, 0.001148, 12.844282, -67.034013, -60.550426, , , 0.000000, , , 
64313, , -9.909770, 7.337713, -11.212881, 10.750125, 0.862377, -22.518959, 3.237365, 0.285868, 0.171453, -0.751221, 0.230469, -0.605469, -0.099321, 0.075093, -0.110781, 0.999868, 0.016186, 0.001429, 0.000857, 14.372213, -66.922569, -60.176409, , , 0.000000, , , 
64314, , -9.588391, 13.704910, -5.558376, 11.768505, 8.879585, -19.472330, 0.534638, -2.647158, 1.434737, -0.764160, 0.251221, -0.580078, -0.096121, 0.136510, -0.056490, 0.999883, 0.002673, -0.013235, 0.007173, 13.620772, -68.592425, -59.034821, , , 0.000000, , , 
